"ROW_ID";"TITLE";"ALT TITLE";"RLS DATE";"DURATION (MIN)";"DIRECTORS";"ACTORS";"CATEGORIES";"ORIGIN";"NB_SEASONS";"NB_EPISODES";"DESCRIPTION";"IMAGE";"KEYWORDS"
"34";"Le Meilleur pâtissier Spécial Célébrités";"ND";"En cours";"90 min";"Groupe M6";"Cyril Lignac, Jacqueline Mercorelli, Faustine Bollaert";"94";"France";"2";"6";"Plusieurs célébrités s’affrontent au cours d’épreuves bien connues des téléspectateurs et se soumettent au jugement de l'histo­rique duo gagnant composé de Cyril Lignac et de la blogueuse culinaire Mercotte. 
Tout ce petit monde sera genti­ment chapeauté par Faustine Bollaert.

- Saison 01 (Mai / Juin 2016)
- Saison 02 (prévision Octobre 2017)";"http://static.media.dpstream.net/s/6959/zzaf---le-meilleur-pâtissier-spécial-célébrités-1476832431.jpg";"Série Le Meilleur pâtissier Spécial Célébrités streaming,Le Meilleur pâtissier Spécial Célébrités dpstream, Série Le Meilleur pâtissier Spécial Célébrités HD, Le Meilleur pâtissier Spécial Célébrités streaming VF"
"35";"Shoot the Messenger";"ND";"En cours";"45 min";"Jennifer Holness,  Sudz Sutherland";"Lucas Bryant, Elyse Levesque, Lyriq Bent";"26,33,39";"Canada";"1";"8";"Une jeune journaliste pleine d'ambition est témoin d'un meurtre et se retrouve ainsi impliquée dans le monde dangereux de la criminalité, qui s'étend même jusqu'aux grandes entreprises et instances politiques.";"http://static.media.dpstream.net/s/6958/098020.jpg-c_160_214_x-f_jpg-q_x-xxyxx-1476864364.jpg";"Série Shoot the Messenger streaming,Shoot the Messenger dpstream, Série Shoot the Messenger HD, Shoot the Messenger streaming VF"
"36";"Tutankhamun";"ND";"En cours";"45 min";"Guy Burt";"Sam Neill, Max Irons, Amy Wren";"20,26,30";"Royaume-Uni";"1";"4";"Egypte 1905. L'archéologue de renom, Howard Carter, est recruté par l'aristrocrate et égyptologue amateur Lord Carnavon, afin d'explorer la vallée des rois dans le but d'y découvrir le tombeau du pharaon Toutânkhamon. Cependant, les prémices de la Première Guerre Mondiale, les diverses mésaventures et le caractère impulsif de Carter pourraient bien mettre l'expédition en péril...";"http://static.media.dpstream.net/s/6957/tutankhamun-1476702968.jpg";"Série Tutankhamun streaming,Tutankhamun dpstream, Série Tutankhamun HD, Tutankhamun streaming VF"
"37";"Graves";"ND";"En cours";"30 min";"Joshua Michael Stern";"Nick Nolte, Sela Ward, Skylar Astin, Callie Hernandez";"23";"États-Unis";"1";"10";"Margaret Graves, femme de l'ex-président des Etats-Unis Richard Graves, entre en politique alors que son mari joue les Don Quichotte et tente de mettre en lumière les erreurs de son administration vingt ans après son mandat.";"http://static.media.dpstream.net/s/6956/506709.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1476701568.jpg";"Série Graves streaming,Graves dpstream, Série Graves HD, Graves streaming VF"
"38";"Eyewitness";"ND";"En cours";"60 min";"Adi Hasak";"Gil Bellows, Julianne Nicholson, Warren Christie, Tyler Young, James Paxton";"33,39";"États-Unis";"1";"10";"Deux adolescents se rencontrent secrètement dans une forêt où ils assistent à une fusillade, et échappent de peu à la mort. Cherchant à cacher leur amour, ils gardent le silence, mais se rendent compte qu'on n'oublie pas un meurtre aussi facilement...";"http://static.media.dpstream.net/s/6955/578411.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1476701318.jpg";"Série Eyewitness streaming,Eyewitness dpstream, Série Eyewitness HD, Eyewitness streaming VF"
"39";"Sur la trace des Aliens";"In Search of Aliens";"En cours";"42 min";"History Channel";"Giorgio Tsoukalos";"25,94,103";"États-Unis";"1";"10";"Giorgio Tsoukalos présente des hypothèses et des preuves éventuelles d'une vie extraterrestre, créatures mythologiques, et d'autres sujets paranormaux.";"http://static.media.dpstream.net/s/6954/zzaf---sur-la-trace-des-aliens-2014-in-search-of-aliens-1476638818.jpg";"Série Sur la trace des Aliens streaming,Sur la trace des Aliens dpstream, Série Sur la trace des Aliens HD, Sur la trace des Aliens streaming VF"
"40";"Kim's Convenience";"ND";"En cours";"22 min";"Kevin White,  Ins Choi";"Paul Sun-Hyung Lee, Jean Yoon, Simu Liu";"23";"Canada";"1";"13";"Une famille canado-coréenne atypique est en charge d'une épicerie de quartier à Toronto.";"http://static.media.dpstream.net/s/6953/mv5bodqxmmi3zgqtogrlny00mzi3lwe3zmitowrjm2i2yjqyyzgzxkeyxkfqcgdeqxvymzi2mzy";"Série Kim's Convenience streaming,Kim's Convenience dpstream, Série Kim's Convenience HD, Kim's Convenience streaming VF"
"41";"Haters Back Off";"ND";"En cours";"30 min";"";"Harvey Guillen, Colleen Ballinger, Angela Kinsey";"23";"États-Unis";"1";"8";"Inspiré du personnage créé par Colleen Ballinger-Evans, Haters Back Off nous plonge dans la vie délirante de Miranda Sings qui aspire à devenir une célébrité avec une confiance en elle hallucinante malgré la nullité abyssale de son talent. Elle continue à avancer, d'échec en échec, persuadée que la célébrité l'attend.";"http://static.media.dpstream.net/s/6952/haters-1476451558.jpg";"Série Haters Back Off streaming,Haters Back Off dpstream, Série Haters Back Off HD, Haters Back Off streaming VF"
"42";"Rosehaven";"ND";"En cours";"30 min";"Luke McGregor,  Celia Pacquola";"Kris McQuade, Celia Pacquola, Luke McGregor";"23";"Australie";"1";"8";"Daniel et Emma, deux amis proches, retournent dans leur Tasmanie natale pour venir prêter main forte au business de la famille de Daniel.";"http://static.media.dpstream.net/s/6951/rosehaven-1476361258.jpg";"Série Rosehaven streaming,Rosehaven dpstream, Série Rosehaven HD, Rosehaven streaming VF"
"43";"Channel Zero";"ND";"En cours";"42 min";"Nick Antosca";"Paul Schneider, Fiona Shaw, Amy Forsyth";"39,95";"États-Unis";"2";"6";"Un homme est obsédé par une émission de télé pour enfants des années 80, et commence à soupçonner qu'elle aurait joué un rôle dans les événements meurtriers et cauchemardesques de son enfance.";"http://static.media.dpstream.net/s/6950/569809.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1476273627.jpg";"Série Channel Zero streaming,Channel Zero dpstream, Série Channel Zero HD, Channel Zero streaming VF"
