ROW_ID;SERIE_ID;SERIE_TITLE;SERIE_ROW_ID;SEASON_NAME;SEASON_ROW_ID;NAME
233;6953;Kim's Convenience;52;Saison 1;54;S1 E1
234;6953;Kim's Convenience;52;Saison 1;54;S1 E2
235;6953;Kim's Convenience;52;Saison 1;54;S1 E3
236;6953;Kim's Convenience;52;Saison 1;54;S1 E4
237;6953;Kim's Convenience;52;Saison 1;54;S1 E5
238;6953;Kim's Convenience;52;Saison 1;54;S1 E6
239;6952;Haters Back Off;53;Saison 1;55;S1 E1
240;6952;Haters Back Off;53;Saison 1;55;S1 E2
241;6952;Haters Back Off;53;Saison 1;55;S1 E3
242;6952;Haters Back Off;53;Saison 1;55;S1 E4
243;6952;Haters Back Off;53;Saison 1;55;S1 E5
244;6952;Haters Back Off;53;Saison 1;55;S1 E6
245;6952;Haters Back Off;53;Saison 1;55;S1 E7
246;6952;Haters Back Off;53;Saison 1;55;S1 E8
247;6951;Rosehaven;54;Saison 1;56;S1 E1
248;6951;Rosehaven;54;Saison 1;56;S1 E2
249;6951;Rosehaven;54;Saison 1;56;S1 E3
250;6951;Rosehaven;54;Saison 1;56;S1 E4
251;6951;Rosehaven;54;Saison 1;56;S1 E5
252;6950;Channel Zero;55;Saison 1;57;S1 E1
253;6950;Channel Zero;55;Saison 1;57;S1 E2
254;6950;Channel Zero;55;Saison 1;57;S1 E3
255;6950;Channel Zero;55;Saison 1;57;S1 E4
256;6950;Channel Zero;55;Saison 1;57;S1 E5
257;6950;Channel Zero;55;Saison 1;57;S1 E6
258;6949;American Housewife;56;Saison 1;58;S1 E1
259;6949;American Housewife;56;Saison 1;58;S1 E2
260;6949;American Housewife;56;Saison 1;58;S1 E3
261;6949;American Housewife;56;Saison 1;58;S1 E4
262;6949;American Housewife;56;Saison 1;58;S1 E5
263;6949;American Housewife;56;Saison 1;58;S1 E6
264;6948;Motherland;57;Saison 1;59;S1 E1
265;6947;Freakish;58;Saison 1;60;S1 E1
266;6947;Freakish;58;Saison 1;60;S1 E2
267;6947;Freakish;58;Saison 1;60;S1 E3
